id,host_is_superhost,host_listings_count,host_identity_verified,neighbourhood_cleansed,neighbourhood_group_cleansed,latitude,longitude,is_location_exact,property_type,room_type,accommodates,bathrooms,bedrooms,beds,bed_type,price,security_deposit,cleaning_fee,guests_included,extra_people,minimum_nights,availability_90,instant_bookable,cancellation_policy,host_active,phone,email,id_verification,review,photo,socials,others,air_con,wifi,washer,essentials,kitchen,hangers,iron,tv,hair_dryer,shampoo,laptop_workspace,elevator,dryer,hot_water,bedroom_lock,pool,refrigerator,long_term_stays,gym,microwave,bedrooms_per_accommodates
28751408,0,6,0,Bukit Merah,Central Region,1.2903799999999999,103.82842,0,Condominium,Entire home/apt,12,2.0,4.0,5.0,Real Bed,5.940171252720432,300.0,120.0,8,39.0,2,73,1,strict_14_with_grace_period,1333.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,0,1,0,0,0,0.3333333333333333
28760983,0,58,0,Rochor,Central Region,1.3042200000000002,103.84949,0,Apartment,Private room,4,1.0,1.0,2.0,Real Bed,4.941642422609304,0.0,0.0,1,0.0,1,90,0,strict_14_with_grace_period,552.0,1,1,1,0,1,0,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,0,0,0,0,1,0.25
28761268,0,58,0,Rochor,Central Region,1.3032299999999999,103.84943,0,Apartment,Entire home/apt,5,1.0,1.0,3.0,Real Bed,5.0689042022202315,0.0,0.0,1,0.0,1,90,0,strict_14_with_grace_period,552.0,1,1,1,0,1,0,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,0,0,0,0,0,0,0.2
28761398,0,58,0,Rochor,Central Region,1.30315,103.85086,0,Apartment,Private room,1,1.0,1.0,1.0,Real Bed,4.31748811353631,0.0,0.0,1,0.0,1,84,0,strict_14_with_grace_period,552.0,1,1,1,0,1,0,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,0,0,0,0,0,1.0
28767536,0,135,0,Kallang,Central Region,1.3104799999999999,103.8724,1,Hostel,Hotel room,10,2.0,1.0,10.0,Real Bed,3.2188758248682006,0.0,0.0,1,23.0,1,77,1,moderate,1157.0,1,1,1,0,1,0,1,1,1,0,1,1,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0.1
28772425,0,126,1,Outram,Central Region,1.28339,103.84331,1,Apartment,Private room,1,1.0,1.0,1.0,Real Bed,4.0943445622221,0.0,20.0,1,10.0,90,71,1,strict_14_with_grace_period,2840.0,1,1,1,1,0,0,1,1,1,1,1,1,1,1,0,0,0,1,1,1,0,1,0,0,0,0,0,1.0
28786700,1,4,0,Singapore River,Central Region,1.28874,103.84736,1,Hostel,Shared room,2,2.0,1.0,1.0,Real Bed,4.584967478670572,0.0,30.0,2,10.0,1,88,1,flexible,725.0,1,1,1,0,0,0,1,1,1,1,1,0,1,1,0,1,1,1,0,1,0,0,0,1,0,0,1,0.5
28788262,0,135,0,Kallang,Central Region,1.31013,103.87246999999999,1,Hostel,Hotel room,10,2.0,1.0,10.0,Real Bed,3.295836866004329,0.0,0.0,1,25.0,1,90,1,moderate,1157.0,1,1,1,0,1,0,1,1,1,0,1,1,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0.1
28789161,1,1,0,Toa Payoh,Central Region,1.34074,103.84061,1,Condominium,Private room,1,1.0,1.0,1.0,Real Bed,4.07753744390572,0.0,20.0,1,0.0,1,61,0,flexible,1375.0,1,1,0,0,0,0,0,1,1,1,1,0,1,1,1,0,1,1,1,0,1,1,1,1,1,1,0,1.0
28789540,0,2,0,Novena,Central Region,1.32913,103.85,0,Condominium,Private room,1,1.0,1.0,1.0,Real Bed,4.23410650459726,400.0,40.0,1,80.0,1,88,0,strict_14_with_grace_period,1781.0,1,1,1,0,1,1,1,1,1,1,1,1,1,0,1,0,1,0,1,0,0,0,1,0,0,1,0,1.0
28793889,0,2,0,Ang Mo Kio,North-East Region,1.3755,103.8294,1,Townhouse,Private room,3,1.5,1.0,2.0,Real Bed,3.9889840465642745,1000.0,40.0,1,10.0,7,90,1,moderate,1395.0,1,1,1,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,1,1,0,1,0.3333333333333333
